Customer_ID,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Previous_Purchases,Payment_Method
177,2.7,Yes,Next Day Air,Yes,30,Credit Card
178,3.7,Yes,Next Day Air,Yes,47,Bank Transfer
179,4.3,Yes,2-Day Shipping,Yes,21,PayPal
180,4.9,Yes,Store Pickup,Yes,9,Bank Transfer
181,3.3,Yes,Store Pickup,Yes,12,Debit Card
182,4.7,Yes,Next Day Air,Yes,4,Bank Transfer
183,2.8,Yes,Store Pickup,Yes,10,Debit Card
184,3.6,Yes,2-Day Shipping,Yes,26,Credit Card
185,3,Yes,Express,Yes,40,Cash
186,4.5,Yes,Store Pickup,Yes,34,Bank Transfer
187,2.9,Yes,Standard,Yes,31,Debit Card
188,3.3,Yes,Store Pickup,Yes,1,Bank Transfer
189,3.1,Yes,Express,Yes,5,Bank Transfer
190,4.4,Yes,Next Day Air,Yes,4,Credit Card
191,3,Yes,Free Shipping,Yes,48,Venmo
192,3.9,Yes,Free Shipping,Yes,29,Cash
193,2.9,Yes,Express,Yes,12,PayPal
194,3,Yes,Standard,Yes,29,Venmo
195,3.1,Yes,Express,Yes,15,Debit Card
196,4.3,Yes,Free Shipping,Yes,34,Credit Card
197,3.9,Yes,Next Day Air,Yes,41,Credit Card
198,3.2,Yes,2-Day Shipping,Yes,41,Credit Card
199,4.8,Yes,Standard,Yes,39,Credit Card
200,3.8,Yes,Express,Yes,32,Cash
201,3.3,Yes,Next Day Air,Yes,29,Venmo
202,4.3,Yes,Free Shipping,Yes,15,Bank Transfer
203,2.7,Yes,Express,Yes,33,Venmo
204,3.2,Yes,Next Day Air,Yes,18,Bank Transfer
205,4,Yes,Store Pickup,Yes,35,Cash
206,3,Yes,Standard,Yes,25,PayPal
207,4.2,Yes,Free Shipping,Yes,6,Venmo
208,2.9,Yes,Express,Yes,17,Bank Transfer
209,4.1,Yes,Store Pickup,Yes,17,Credit Card
210,3.2,Yes,Store Pickup,Yes,44,Cash
211,3,Yes,2-Day Shipping,Yes,6,PayPal
212,4.2,Yes,2-Day Shipping,Yes,45,Debit Card
213,4.2,Yes,Express,Yes,7,Debit Card
214,4.4,Yes,Store Pickup,Yes,11,Debit Card
215,4.2,Yes,Next Day Air,Yes,41,Cash
216,2.8,Yes,2-Day Shipping,Yes,24,PayPal
217,3.7,Yes,Free Shipping,Yes,21,Venmo
218,3.5,Yes,Next Day Air,Yes,24,Bank Transfer
219,2.9,Yes,Store Pickup,Yes,8,Credit Card
220,3,Yes,Free Shipping,Yes,12,Cash
221,3.7,Yes,Express,Yes,48,Debit Card
222,4.4,Yes,Store Pickup,Yes,6,Bank Transfer
223,4.5,Yes,2-Day Shipping,Yes,14,PayPal
224,4.8,Yes,Free Shipping,Yes,34,PayPal
225,2.9,Yes,Free Shipping,Yes,12,Cash
226,3.2,Yes,Next Day Air,Yes,11,Bank Transfer
227,3.3,Yes,Free Shipping,Yes,5,PayPal
228,4.2,Yes,Standard,Yes,25,Venmo
229,2.9,Yes,Store Pickup,Yes,11,Credit Card
230,4.6,Yes,Next Day Air,Yes,27,PayPal
231,4.1,Yes,Standard,Yes,43,Credit Card
232,3.1,Yes,2-Day Shipping,Yes,18,Debit Card
233,4.2,Yes,Express,Yes,32,Bank Transfer
234,4.5,Yes,Next Day Air,Yes,27,Bank Transfer
235,3.7,Yes,Next Day Air,Yes,24,Credit Card
236,3.7,Yes,Free Shipping,Yes,31,Debit Card
237,3.4,Yes,Next Day Air,Yes,39,PayPal
238,3,Yes,Store Pickup,Yes,36,Debit Card
239,4.2,Yes,Free Shipping,Yes,5,Cash
240,2.9,Yes,Express,Yes,47,Credit Card
241,3.5,Yes,Free Shipping,Yes,29,Bank Transfer
242,4.1,Yes,Free Shipping,Yes,43,Venmo
243,4.3,Yes,Store Pickup,Yes,40,Debit Card
244,2.8,Yes,2-Day Shipping,Yes,4,Debit Card
245,4.9,Yes,2-Day Shipping,Yes,39,PayPal
246,3.3,Yes,Next Day Air,Yes,45,Venmo
247,3.2,Yes,Express,Yes,20,Venmo
248,4.4,Yes,Standard,Yes,14,Debit Card
249,4.8,Yes,Express,Yes,33,PayPal
250,4.2,Yes,Standard,Yes,18,Credit Card
251,4,Yes,Express,Yes,9,Bank Transfer
252,2.5,Yes,Standard,Yes,34,PayPal
253,3.9,Yes,Free Shipping,Yes,33,Venmo
254,4.9,Yes,2-Day Shipping,Yes,15,Bank Transfer
255,3.5,Yes,Store Pickup,Yes,4,PayPal
256,4.2,Yes,Free Shipping,Yes,25,Debit Card
257,4.7,Yes,Express,Yes,20,Credit Card
258,4.5,Yes,Express,Yes,5,Credit Card
259,2.8,Yes,Express,Yes,16,Cash
260,2.9,Yes,Standard,Yes,13,Debit Card
261,3.2,Yes,2-Day Shipping,Yes,11,Credit Card
262,4.9,Yes,Standard,Yes,21,Credit Card
263,3.7,Yes,Next Day Air,Yes,6,Debit Card
264,4.3,Yes,Store Pickup,Yes,29,Venmo
265,3.9,Yes,Store Pickup,Yes,15,Cash
266,3.2,Yes,2-Day Shipping,Yes,17,Bank Transfer
267,3.1,Yes,Express,Yes,32,Credit Card
268,3.9,Yes,2-Day Shipping,Yes,42,Venmo
269,2.6,Yes,Store Pickup,Yes,21,Cash
270,3.3,Yes,Next Day Air,Yes,9,Cash
271,4.6,Yes,Free Shipping,Yes,16,Bank Transfer
272,4.6,Yes,Express,Yes,42,Credit Card
273,4.4,Yes,2-Day Shipping,Yes,37,Debit Card
274,4.2,Yes,Express,Yes,32,Debit Card
275,3,Yes,Express,Yes,28,Cash
276,4,Yes,Express,Yes,13,Credit Card
277,3.5,Yes,Express,Yes,11,Bank Transfer
278,3,Yes,Store Pickup,Yes,36,Bank Transfer
279,3.7,Yes,Express,Yes,23,Debit Card
280,4,Yes,Standard,Yes,37,Bank Transfer
281,4.2,Yes,2-Day Shipping,Yes,21,Cash
282,2.5,Yes,Standard,Yes,22,Debit Card
283,3,Yes,2-Day Shipping,Yes,9,Cash
284,3.2,Yes,Next Day Air,Yes,16,Venmo
285,3.5,Yes,Standard,Yes,4,PayPal
286,4.8,Yes,Express,Yes,3,Debit Card
287,2.6,Yes,Store Pickup,Yes,6,Debit Card
288,3.4,Yes,2-Day Shipping,Yes,18,Venmo
289,3.7,Yes,2-Day Shipping,Yes,34,Venmo
290,4.5,Yes,2-Day Shipping,Yes,26,Credit Card
291,3.7,Yes,Standard,Yes,50,PayPal
292,3.3,Yes,Next Day Air,Yes,40,Bank Transfer
293,4.7,Yes,Free Shipping,Yes,24,Cash
294,2.7,Yes,Express,Yes,33,PayPal
295,4.6,Yes,Store Pickup,Yes,19,Credit Card
296,2.7,Yes,Store Pickup,Yes,24,Credit Card
297,4.8,Yes,2-Day Shipping,Yes,19,Credit Card
298,4.4,Yes,Standard,Yes,4,Credit Card
299,4,Yes,Standard,Yes,11,Venmo
300,3.2,Yes,Next Day Air,Yes,28,PayPal
301,4.4,Yes,Store Pickup,Yes,24,PayPal
302,3.8,Yes,Standard,Yes,25,Credit Card
303,3.6,Yes,Express,Yes,27,Bank Transfer
304,3.3,Yes,Next Day Air,Yes,49,Venmo
305,3.4,Yes,Next Day Air,Yes,45,Credit Card
306,3.5,Yes,2-Day Shipping,Yes,26,PayPal
307,3.6,Yes,Express,Yes,4,Cash
308,3.2,Yes,Free Shipping,Yes,3,Credit Card
309,3.7,Yes,Standard,Yes,45,Venmo
310,4.5,Yes,Standard,Yes,21,Cash
311,4.6,Yes,Standard,Yes,50,Cash
312,4.1,Yes,Store Pickup,Yes,19,Bank Transfer
313,3.4,Yes,Next Day Air,Yes,6,PayPal
314,3.7,Yes,Express,Yes,50,Credit Card
315,3.3,Yes,Store Pickup,Yes,17,Debit Card
316,4.5,Yes,Express,Yes,24,Debit Card
317,3.3,Yes,Free Shipping,Yes,46,Venmo
318,4.3,Yes,Standard,Yes,42,Cash
319,2.5,Yes,Standard,Yes,10,Cash
320,2.6,Yes,Standard,Yes,1,Cash
321,4.9,Yes,Standard,Yes,28,Debit Card
322,4.7,Yes,Free Shipping,Yes,48,Debit Card
323,3,Yes,Standard,Yes,47,Credit Card
324,3.5,Yes,Next Day Air,Yes,29,PayPal
325,4.8,Yes,Standard,Yes,37,Venmo
326,4.3,Yes,Free Shipping,Yes,38,Debit Card
327,3.2,Yes,Store Pickup,Yes,48,Bank Transfer
328,3.1,Yes,Free Shipping,Yes,36,PayPal
329,2.8,Yes,Free Shipping,Yes,9,Credit Card
330,2.9,Yes,2-Day Shipping,Yes,34,Bank Transfer
331,3.7,Yes,Express,Yes,43,Venmo
332,3.3,Yes,Store Pickup,Yes,46,PayPal
333,2.8,Yes,2-Day Shipping,Yes,5,Credit Card
334,4.5,Yes,Standard,Yes,15,Bank Transfer
335,2.6,Yes,Next Day Air,Yes,30,Credit Card
336,3.7,Yes,Standard,Yes,44,Venmo
337,4.4,Yes,Express,Yes,16,PayPal
338,4.3,Yes,2-Day Shipping,Yes,16,Bank Transfer
339,3.5,Yes,Express,Yes,16,Cash
340,3.8,Yes,2-Day Shipping,Yes,21,Credit Card
341,3.5,Yes,Express,Yes,39,Venmo
342,4.6,Yes,Store Pickup,Yes,40,Debit Card
343,2.6,Yes,Next Day Air,Yes,48,Credit Card
344,4.4,Yes,Next Day Air,Yes,26,Venmo
345,4,Yes,Standard,Yes,46,Debit Card
346,4.4,Yes,Next Day Air,Yes,27,Bank Transfer
347,4.7,Yes,Next Day Air,Yes,5,Cash
348,3.9,Yes,Store Pickup,Yes,43,PayPal
349,2.7,Yes,Free Shipping,Yes,17,PayPal
350,3.7,Yes,2-Day Shipping,Yes,3,Bank Transfer
351,2.6,Yes,2-Day Shipping,Yes,47,Bank Transfer
352,3.9,Yes,Standard,Yes,24,Debit Card
353,4.9,Yes,Next Day Air,Yes,12,Cash
354,4.1,Yes,Store Pickup,Yes,35,Debit Card
355,3,Yes,Free Shipping,Yes,42,Venmo
356,4.1,Yes,2-Day Shipping,Yes,1,PayPal
357,3.8,Yes,Standard,Yes,27,Cash
358,4,Yes,Standard,Yes,16,Credit Card
359,3.6,Yes,Express,Yes,36,Credit Card
360,3,Yes,Store Pickup,Yes,30,Credit Card
361,3,Yes,Standard,Yes,18,Debit Card
362,2.6,Yes,Free Shipping,Yes,45,Cash
363,3.4,Yes,Free Shipping,Yes,1,Venmo
364,3.1,Yes,Free Shipping,Yes,42,Bank Transfer
365,3,Yes,Free Shipping,Yes,7,Venmo
366,3.7,Yes,Standard,Yes,50,PayPal
367,3.5,Yes,Store Pickup,Yes,37,Venmo
368,2.8,Yes,Store Pickup,Yes,18,Bank Transfer
369,4.5,Yes,Standard,Yes,29,Cash
370,3.3,Yes,Store Pickup,Yes,45,PayPal
371,3.4,Yes,Express,Yes,13,PayPal
372,3.2,Yes,2-Day Shipping,Yes,47,PayPal
373,3.7,Yes,Standard,Yes,7,Debit Card
374,4.6,Yes,Express,Yes,11,Venmo
375,5,Yes,Store Pickup,Yes,39,Bank Transfer
376,4.4,Yes,Standard,Yes,6,Debit Card
377,4.9,Yes,Express,Yes,2,Venmo
378,4.1,Yes,Standard,Yes,39,Credit Card
379,4.9,Yes,Next Day Air,Yes,23,Credit Card
380,4.7,Yes,2-Day Shipping,Yes,46,Debit Card
381,3,Yes,Store Pickup,Yes,19,Bank Transfer
382,3.4,Yes,Store Pickup,Yes,3,Credit Card
383,3.2,Yes,Store Pickup,Yes,47,PayPal
384,2.9,Yes,Standard,Yes,6,PayPal
385,4.5,Yes,2-Day Shipping,Yes,6,Venmo
386,2.7,Yes,Next Day Air,Yes,12,Credit Card
387,3.4,Yes,Express,Yes,40,PayPal
388,4.6,Yes,Store Pickup,Yes,38,PayPal
389,2.7,Yes,Store Pickup,Yes,10,PayPal
390,4.2,Yes,Standard,Yes,28,Bank Transfer
391,3.2,Yes,2-Day Shipping,Yes,19,PayPal
392,4.8,Yes,Standard,Yes,25,Cash
393,3.3,Yes,Next Day Air,Yes,38,Credit Card
394,4.2,Yes,Standard,Yes,6,PayPal
395,4.8,Yes,Store Pickup,Yes,7,Debit Card
396,4.9,Yes,Store Pickup,Yes,2,PayPal
397,3.9,Yes,Standard,Yes,24,Bank Transfer
398,3,Yes,Free Shipping,Yes,26,Cash
399,4.6,Yes,Free Shipping,Yes,25,Debit Card
400,3.5,Yes,2-Day Shipping,Yes,10,Debit Card
401,4.8,Yes,Free Shipping,Yes,14,PayPal
402,4.8,Yes,Standard,Yes,21,Cash
403,3,Yes,Express,Yes,26,PayPal
404,4.5,Yes,Next Day Air,Yes,12,Bank Transfer
405,4.8,Yes,Store Pickup,Yes,11,Credit Card
406,3.8,Yes,Standard,Yes,15,Cash
407,4.6,Yes,Express,Yes,13,Cash
408,3.1,Yes,Next Day Air,Yes,5,Credit Card
409,3.4,Yes,Express,Yes,36,Cash
410,3.3,Yes,2-Day Shipping,Yes,32,Bank Transfer
411,4.8,Yes,2-Day Shipping,Yes,1,Credit Card
412,2.8,Yes,Express,Yes,15,PayPal
413,3.1,Yes,Store Pickup,Yes,3,Bank Transfer
414,4.6,Yes,Free Shipping,Yes,48,Cash
415,2.6,Yes,Store Pickup,Yes,30,Debit Card
416,2.6,Yes,Express,Yes,40,Bank Transfer
417,3.8,Yes,Free Shipping,Yes,24,Bank Transfer
418,4.5,Yes,Free Shipping,Yes,48,Debit Card
419,3,Yes,Standard,Yes,27,Venmo
420,3.5,Yes,Free Shipping,Yes,14,Credit Card
421,3.8,Yes,Free Shipping,Yes,18,Debit Card
422,3.5,Yes,Standard,Yes,48,Cash
423,3.1,Yes,Store Pickup,Yes,32,Debit Card
424,3,Yes,Store Pickup,Yes,21,Credit Card
425,4.3,Yes,Standard,Yes,42,PayPal
426,3.3,Yes,Store Pickup,Yes,4,Credit Card
427,4.7,Yes,Express,Yes,19,Credit Card
428,4.5,Yes,Store Pickup,Yes,6,Credit Card
429,2.9,Yes,Free Shipping,Yes,2,Debit Card
430,4.1,Yes,2-Day Shipping,Yes,21,Cash
431,3.5,Yes,Store Pickup,Yes,40,Debit Card
432,3.4,Yes,Store Pickup,Yes,33,Cash
433,3.3,Yes,Free Shipping,Yes,26,Venmo
434,3.2,Yes,Store Pickup,Yes,23,Credit Card
435,4,Yes,Store Pickup,Yes,39,PayPal
436,3.6,Yes,Next Day Air,Yes,42,Bank Transfer
437,4.6,Yes,Free Shipping,Yes,41,Bank Transfer
438,2.6,Yes,Next Day Air,Yes,41,PayPal
439,4.3,Yes,Express,Yes,12,Credit Card
440,3.4,Yes,Free Shipping,Yes,31,Cash
441,3.5,Yes,Store Pickup,Yes,34,Debit Card
442,4.2,Yes,Standard,Yes,32,Credit Card
443,3.5,Yes,Store Pickup,Yes,31,Credit Card
444,3.6,Yes,Free Shipping,Yes,24,PayPal
445,4.3,Yes,Store Pickup,Yes,31,Debit Card
446,4.9,Yes,Standard,Yes,18,Venmo
447,4.1,Yes,Store Pickup,Yes,15,Venmo
448,3.6,Yes,Standard,Yes,7,Bank Transfer
449,3.4,Yes,Next Day Air,Yes,35,Bank Transfer
450,2.9,Yes,2-Day Shipping,Yes,35,Bank Transfer
451,2.7,Yes,Store Pickup,Yes,19,Credit Card
452,4.3,Yes,Express,Yes,26,Credit Card
453,3.3,Yes,Express,Yes,39,PayPal
454,2.8,Yes,Next Day Air,Yes,22,Credit Card
455,3.2,Yes,Next Day Air,Yes,14,Cash
456,3.6,Yes,Store Pickup,Yes,50,Debit Card
457,4,Yes,2-Day Shipping,Yes,33,Credit Card
458,4.9,Yes,Next Day Air,Yes,48,Debit Card
459,4,Yes,2-Day Shipping,Yes,48,PayPal
460,3.8,Yes,Standard,Yes,27,PayPal
461,3.7,Yes,Store Pickup,Yes,27,Bank Transfer
462,3.9,Yes,Express,Yes,20,Venmo
463,3.3,Yes,Express,Yes,48,Venmo
464,2.7,Yes,Standard,Yes,29,Venmo
465,4.7,Yes,Next Day Air,Yes,45,PayPal
466,2.8,Yes,Next Day Air,Yes,25,Cash
467,4.6,Yes,Free Shipping,Yes,25,PayPal
468,4.5,Yes,2-Day Shipping,Yes,37,Debit Card
469,5,Yes,Free Shipping,Yes,16,Cash
470,4.1,Yes,2-Day Shipping,Yes,30,Debit Card
471,4.6,Yes,Express,Yes,6,Cash
472,4.9,Yes,2-Day Shipping,Yes,36,Bank Transfer
473,3.9,Yes,Free Shipping,Yes,3,Bank Transfer
474,3.9,Yes,Store Pickup,Yes,29,PayPal
475,2.6,Yes,2-Day Shipping,Yes,15,Cash
476,2.7,Yes,Free Shipping,Yes,18,Debit Card
477,3.5,Yes,Free Shipping,Yes,2,Debit Card
478,3.7,Yes,Free Shipping,Yes,49,Debit Card
479,3.2,Yes,Free Shipping,Yes,48,Venmo
480,3.3,Yes,Store Pickup,Yes,43,Venmo
481,4.8,Yes,Standard,Yes,30,Debit Card
482,3.2,Yes,2-Day Shipping,Yes,10,PayPal
483,2.5,Yes,2-Day Shipping,Yes,11,Venmo
484,3.9,Yes,Store Pickup,Yes,12,Debit Card
485,4.7,Yes,Free Shipping,Yes,28,Bank Transfer
486,2.6,Yes,Next Day Air,Yes,36,Debit Card
487,2.8,Yes,Store Pickup,Yes,37,Venmo
488,4.4,Yes,Store Pickup,Yes,22,Credit Card
489,4.6,Yes,Standard,Yes,32,Venmo
490,3.2,Yes,Standard,Yes,40,PayPal
491,4.2,Yes,2-Day Shipping,Yes,47,Cash
492,3.7,Yes,2-Day Shipping,Yes,24,Credit Card
493,3.9,Yes,Standard,Yes,11,Debit Card
494,4.7,Yes,Store Pickup,Yes,19,Cash
495,4.5,Yes,Express,Yes,42,Debit Card
496,3.3,Yes,Free Shipping,Yes,6,Debit Card
497,3.3,Yes,Express,Yes,31,Venmo
498,4.6,Yes,Free Shipping,Yes,31,Cash
499,3.6,Yes,Free Shipping,Yes,27,Bank Transfer
500,4.8,Yes,Express,Yes,24,PayPal
501,4.8,Yes,Next Day Air,Yes,35,Venmo
502,2.9,Yes,Next Day Air,Yes,21,Venmo
503,2.8,Yes,Express,Yes,8,PayPal
